id,year,month,carrier,carrier_name,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,id-2,country_code,iata,airport,latitude,longitude
62,2020,12,AS,Alaska Airlines Inc.,"Salt Lake City, UT: Salt Lake City International",15,1,0,0,0.56,0,0.44,0,0,32,0,0,18,0,14,0,US,SLC,Salt Lake City International Airport,40.7884,-111.978
63,2020,12,B6,JetBlue Airways,"Atlanta, GA: Hartsfield-Jackson Atlanta International",104,23,11.88,0,5.97,0,5.15,1,0,1781,793,0,256,0,732,1,US,ATL,Hartsfield-Jackson Atlanta International Airport,33.6367,-84.4281
64,2020,12,B6,JetBlue Airways,"Boston, MA: Logan International",1588,324,97.15,2.22,131.11,2.28,91.25,27,6,20745,6844,226,4397,166,9112,13,US,BOS,Logan International Airport,42.3643,-71.0052
65,2020,12,B6,JetBlue Airways,"Charlotte, NC: Charlotte Douglas International",18,5,3.32,0.69,0.99,0,0,0,0,644,338,183,123,0,0,10,US,CLT,Charlotte Douglas International Airport,35.214,-80.9431
66,2020,12,B6,JetBlue Airways,"Washington, DC: Ronald Reagan Washington National",247,44,21.25,1.89,7.66,1.25,11.95,0,0,3216,1378,276,414,44,1104,24,US,DCA,Ronald Reagan Washington National Airport,38.8522,-77.0378
67,2020,12,B6,JetBlue Airways,"Denver, CO: Denver International",47,5,1.04,0.47,2.53,0,0.96,0,0,159,26,15,63,0,55,9,US,DEN,Denver International Airport,39.8617,-104.673
68,2020,12,B6,JetBlue Airways,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",30,10,5.07,1.34,2.79,0,0.8,0,0,1109,326,474,273,0,36,8,US,DFW,Dallas/Fort Worth International Airport,32.8968,-97.038
69,2020,12,B6,JetBlue Airways,"Detroit, MI: Detroit Metro Wayne County",34,4,1.82,1.36,0.61,0,0.21,1,0,347,129,151,61,0,6,20,US,DTW,Detroit Metro Wayne County Airport,42.2125,-83.3533
70,2020,12,B6,JetBlue Airways,"Newark, NJ: Newark Liberty International",670,140,55.73,0,42.36,1.35,40.55,13,0,8136,3312,0,1784,53,2987,21,US,EWR,Newark Liberty International Airport,40.6925,-74.1686
71,2020,12,B6,JetBlue Airways,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",1153,266,97.28,2.93,126.89,1.53,37.37,11,1,13747,6214,351,4509,53,2620,2,US,FLL,Fort Lauderdale-Hollywood International Airport,26.0726,-80.1527
72,2020,12,B6,JetBlue Airways,"Houston, TX: George Bush Intercontinental/Houston",33,7,2.58,0.18,4.24,0,0,0,0,774,393,35,346,0,0,14,US,IAH,George Bush Intercontinental Airport,29.9844,-95.3414
73,2020,12,B6,JetBlue Airways,"New York, NY: John F. Kennedy International",1278,249,78.89,0,102.66,1.72,65.73,19,1,15288,4985,0,3480,42,6781,22,US,JFK,John F. Kennedy International Airport,40.6397,-73.7789
74,2020,12,B6,JetBlue Airways,"Las Vegas, NV: McCarran International",129,21,5.87,1,10.4,0,3.73,1,0,1681,1076,60,390,0,155,7,US,LAS,Harry Reid International Airport,36.0801,-115.152
75,2020,12,B6,JetBlue Airways,"Los Angeles, CA: Los Angeles International",505,74,25.21,2.53,36.14,0,10.13,5,1,4719,2728,280,1064,0,647,6,US,LAX,Los Angeles International Airport,33.9425,-118.408
76,2020,12,B6,JetBlue Airways,"New York, NY: LaGuardia",81,17,5.81,0,3.46,0,7.73,0,0,1544,294,0,190,0,1060,23,US,LGA,LaGuardia Airport,40.775,-73.875
77,2020,12,B6,JetBlue Airways,"Orlando, FL: Orlando International",954,204,87.47,1.72,79.15,0,35.66,8,3,12904,6226,118,2954,0,3606,4,US,MCO,Orlando International Airport,28.4294,-81.309
78,2020,12,B6,JetBlue Airways,"Minneapolis, MN: Minneapolis-St Paul International",20,2,0,1.71,0.29,0,0,1,0,457,0,353,104,0,0,5,US,MSP,Minneapolis-Saint Paul International Airport (Wold-Chamberlain Field),44.882,-93.2218
79,2020,12,B6,JetBlue Airways,"Chicago, IL: Chicago O'Hare International",57,12,5.26,0.49,4.73,0,1.52,0,0,1013,438,196,251,0,128,18,US,ORD,Chicago O'Hare International Airport,41.9786,-87.9047
80,2020,12,B6,JetBlue Airways,"Philadelphia, PA: Philadelphia International",142,28,12.85,0,10.78,0,4.37,0,0,1705,565,0,308,0,832,11,US,PHL,Philadelphia International Airport,39.8719,-75.2411
81,2020,12,B6,JetBlue Airways,"Phoenix, AZ: Phoenix Sky Harbor International",60,13,2.65,2.34,5.22,0,2.8,0,0,848,266,129,278,0,175,12,US,PHX,Phoenix Sky Harbor International Airport,33.4343,-112.012
82,2020,12,B6,JetBlue Airways,"San Diego, CA: San Diego International",85,19,6.76,4.83,6.25,0,1.16,1,0,1383,406,472,373,0,132,15,US,SAN,San Diego International Airport,32.7336,-117.19
83,2020,12,B6,JetBlue Airways,"Seattle, WA: Seattle/Tacoma International",37,7,3.44,0.48,3.08,0,0,1,0,521,263,64,194,0,0,16,US,SEA,Seattle-Tacoma International Airport,47.449,-122.309
84,2020,12,B6,JetBlue Airways,"San Francisco, CA: San Francisco International",167,25,10.36,1.98,10.81,0,1.85,1,0,2197,1221,410,387,0,179,17,US,SFO,San Francisco International Airport,37.619,-122.375
85,2020,12,B6,JetBlue Airways,"Salt Lake City, UT: Salt Lake City International",84,18,5.22,0.32,7.24,0,5.22,0,0,833,393,9,226,0,205,0,US,SLC,Salt Lake City International Airport,40.7884,-111.978
86,2020,12,DL,Delta Air Lines Inc.,"Atlanta, GA: Hartsfield-Jackson Atlanta International",12420,1286,414.32,15.49,650.12,7,199.07,74,6,72853,38827,2024,20028,364,11610,1,US,ATL,Hartsfield-Jackson Atlanta International Airport,33.6367,-84.4281
87,2020,12,DL,Delta Air Lines Inc.,"Boston, MA: Logan International",763,124,39.86,5.05,54.78,0,24.3,21,1,6274,2431,340,1975,0,1528,13,US,BOS,Logan International Airport,42.3643,-71.0052
88,2020,12,DL,Delta Air Lines Inc.,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",287,32,11.87,1,17.07,0,2.06,4,0,1101,597,53,366,0,85,19,US,BWI,Baltimore/Washington International Airport,39.1753,-76.6683
89,2020,12,DL,Delta Air Lines Inc.,"Charlotte, NC: Charlotte Douglas International",280,35,16.1,0,14.65,1,3.25,0,1,1429,819,0,445,42,123,10,US,CLT,Charlotte Douglas International Airport,35.214,-80.9431
90,2020,12,DL,Delta Air Lines Inc.,"Washington, DC: Ronald Reagan Washington National",418,52,20.92,1,19.13,0,10.95,4,0,2376,1171,41,535,0,629,24,US,DCA,Ronald Reagan Washington National Airport,38.8522,-77.0378
91,2020,12,DL,Delta Air Lines Inc.,"Denver, CO: Denver International",755,128,38.81,3.09,76.78,0,9.31,8,2,6716,3354,299,2449,0,614,9,US,DEN,Denver International Airport,39.8617,-104.673
92,2020,12,DL,Delta Air Lines Inc.,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",540,150,45,0.28,89.12,0,15.6,6,5,7176,3312,23,2751,0,1090,8,US,DFW,Dallas/Fort Worth International Airport,32.8968,-97.038
93,2020,12,DL,Delta Air Lines Inc.,"Detroit, MI: Detroit Metro Wayne County",2941,408,109.16,1.93,217.89,0,79.03,28,3,20813,9911,77,6134,0,4691,20,US,DTW,Detroit Metro Wayne County Airport,42.2125,-83.3533
94,2020,12,DL,Delta Air Lines Inc.,"Newark, NJ: Newark Liberty International",294,25,11.65,1.2,10.19,0,1.96,4,0,883,442,83,266,0,92,21,US,EWR,Newark Liberty International Airport,40.6925,-74.1686
95,2020,12,DL,Delta Air Lines Inc.,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",912,163,49.52,3.67,92.14,0,17.68,17,0,8002,3358,505,3233,0,906,2,US,FLL,Fort Lauderdale-Hollywood International Airport,26.0726,-80.1527
96,2020,12,DL,Delta Air Lines Inc.,"Houston, TX: George Bush Intercontinental/Houston",275,46,19.44,0,26.33,0,0.23,2,1,2176,1409,0,697,0,70,14,US,IAH,George Bush Intercontinental Airport,29.9844,-95.3414
97,2020,12,DL,Delta Air Lines Inc.,"New York, NY: John F. Kennedy International",1391,234,76.06,5.53,107.2,0.72,44.49,45,1,14938,7124,493,3447,36,3838,22,US,JFK,John F. Kennedy International Airport,40.6397,-73.7789
98,2020,12,DL,Delta Air Lines Inc.,"Las Vegas, NV: McCarran International",904,130,40.28,4.9,79.45,0,5.36,12,2,7089,3538,1108,2249,0,194,7,US,LAS,Harry Reid International Airport,36.0801,-115.152
99,2020,12,DL,Delta Air Lines Inc.,"Los Angeles, CA: Los Angeles International",1928,246,64.51,4.61,161.91,0,14.96,19,5,13932,6924,577,5131,0,1300,6,US,LAX,Los Angeles International Airport,33.9425,-118.408
100,2020,12,DL,Delta Air Lines Inc.,"New York, NY: LaGuardia",1126,148,54.35,1.8,49.23,0,42.63,29,1,9856,4544,86,1765,0,3461,23,US,LGA,LaGuardia Airport,40.775,-73.875
101,2020,12,DL,Delta Air Lines Inc.,"Orlando, FL: Orlando International",1240,182,68.44,6.94,84.03,0,22.59,12,1,10914,5923,475,2902,0,1614,4,US,MCO,Orlando International Airport,28.4294,-81.309
102,2020,12,DL,Delta Air Lines Inc.,"Miami, FL: Miami International",619,94,34.64,1.89,47.7,0.67,9.1,11,0,4594,2424,174,1495,60,441,3,US,MIA,Miami International Airport,25.7932,-80.2906
103,2020,12,DL,Delta Air Lines Inc.,"Minneapolis, MN: Minneapolis-St Paul International",3108,366,98.26,15.05,198.48,1,53.2,74,2,27496,9319,7920,6344,28,3885,5,US,MSP,Minneapolis-Saint Paul International Airport (Wold-Chamberlain Field),44.882,-93.2218
104,2020,12,DL,Delta Air Lines Inc.,"Chicago, IL: Chicago O'Hare International",314,54,25.79,1,24.51,0,2.7,1,0,2223,1266,40,713,0,204,18,US,ORD,Chicago O'Hare International Airport,41.9786,-87.9047
105,2020,12,DL,Delta Air Lines Inc.,"Philadelphia, PA: Philadelphia International",276,30,12.93,0,16.24,0.83,0,1,0,955,541,0,384,30,0,11,US,PHL,Philadelphia International Airport,39.8719,-75.2411
